# CELLxGENE census 2023-05-15 — census_info/datasets, as served from s3://cellxgene-census-public-us-west-2/cell-census/2023-05-15/soma/
# census_build_date=2023-05-15 total_cell_count=57880760 unique_cell_count=36673205 datasets=562
# Regenerate with scripts/snapshot_census.py; rows sorted by dataset_id so the bytes are reproducible.
dataset_id,collection_id,collection_name,collection_doi,dataset_title,dataset_total_cell_count
07854d9c-5375-4a9b-ac34-fa919d3c3686,bcb61471-2a44-4d00-a0af-ff085512674c,An atlas of healthy and injured cell states and niches in the human kidney,10.1101/2021.07.28.454201,Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),172847
07b1d7c8-5c2e-42f7-9246-26f746cd6013,283d65eb-dd53-496d-adb7-7570c7caa443,Transcriptomic diversity of cell types across the adult human brain,10.1101/2022.10.12.511898,Dissection: Myelencephalon (medulla oblongata) (Mo) - afferent nuclei of cranial nerves in medulla oblongata - MoAN,27210
07f14e26-ff0d-43c4-bfe3-bf1a94dc73c3,0a77d4c0-d5d0-40f0-aa1a-5e1429bcbd7e,A transcriptional cross species map of pancreatic islet cells,10.1016/j.molmet.2022.101595,mouse pancreatic islet cells,7011
08073b32-d389-41f4-a4fd-616de76915ab,120e86b4-1195-48c5-845b-b98054105eec,Spatiotemporal immune zonation of the human kidney,10.1126/science.aat5031,Fetal kidney dataset: nephron,10790
0895c838-e550-48a3-a777-dbcd35d30272,44531dd9-1388-4416-a117-af0a99de2294,"Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity",10.1002/hep4.1854,Healthy human liver: B cells,146
090da8ea-46e8-40df-bffc-1f78e1538d27,283d65eb-dd53-496d-adb7-7570c7caa443,Transcriptomic diversity of cell types across the adult human brain,10.1101/2022.10.12.511898,Dissection: Spinal cord - SpC,24190
095940cb-7422-4510-96e2-cbafd961eb88,283d65eb-dd53-496d-adb7-7570c7caa443,Transcriptomic diversity of cell types across the adult human brain,10.1101/2022.10.12.511898,Dissection: Cerebellum (CB) - Cerebellar deep nuclei - CbDN,52045
0a21f80c-e7a3-465b-8aba-fdda2b4c36bc,de13e3e2-23b6-40ed-a413-e9e12d7d3910,A cell atlas of human thymic development defines T cell repertoire formation,10.1126/science.aay3224,Human T cells - A cell atlas of human thymic development defines T cell repertoire formation,76994
0b4a15a7-4e9e-4555-9733-2423e5c66469,a98b828a-622a-483a-80e0-15703678befd,HCA kidney seed network: University of Michigan,,Single cell RNA-seq data from normal adult kidney tissue,48783
0b75c598-0893-4216-afe8-5414cab7739d,bcb61471-2a44-4d00-a0af-ff085512674c,An atlas of healthy and injured cell states and niches in the human kidney,10.1101/2021.07.28.454201,Integrated Single-nucleus and Single-cell RNA-seq of the Adult Human Kidney,304652
