# Derived extract of Supplementary Data 1, scFoundation (Hao et al. 2024, Nature Methods, doi:10.1038/s41592-024-02305-7).
# derived-from-sha256: 786c6962d01bbeeffcc88335d2e2e762f333daf399c649bec3916bc4ef2209d0
# Columns kept: project_ID, sample_ID, cell_number_reserved — every row, values unchanged. The publisher file itself is not committed.
project_ID,sample_ID,cell_number_reserved
GEO-GSE152316,GEO-GSM4612469,1
GEO-GSE152316,GEO-GSM4612470,1
GEO-GSE152316,GEO-GSM4612471,1
GEO-GSE152316,GEO-GSM4612472,1
GEO-GSE152316,GEO-GSM4612473,1
GEO-GSE152316,GEO-GSM4612474,1
GEO-GSE152316,GEO-GSM4612475,1
GEO-GSE152316,GEO-GSM4612476,1
GEO-GSE152316,GEO-GSM4612477,1
GEO-GSE152316,GEO-GSM4612478,1
GEO-GSE152316,GEO-GSM4612479,1
GEO-GSE152316,GEO-GSM4612480,1
GEO-GSE152316,GEO-GSM4612481,1
GEO-GSE152316,GEO-GSM4612482,1
GEO-GSE152316,GEO-GSM4612483,1
GEO-GSE152316,GEO-GSM4612484,1
GEO-GSE152316,GEO-GSM4612485,1
GEO-GSE152316,GEO-GSM4612486,1
GEO-GSE152316,GEO-GSM4612487,1
GEO-GSE152316,GEO-GSM4612488,1
GEO-GSE152316,GEO-GSM4612489,1
GEO-GSE152316,GEO-GSM4612490,1
GEO-GSE152316,GEO-GSM4612491,1
GEO-GSE152316,GEO-GSM4612492,1
GEO-GSE152316,GEO-GSM4612493,1
GEO-GSE152316,GEO-GSM4612494,1
GEO-GSE152316,GEO-GSM4612495,1
GEO-GSE152316,GEO-GSM4612496,1
GEO-GSE152316,GEO-GSM4612497,1
GEO-GSE152316,GEO-GSM4612498,1
GEO-GSE152316,GEO-GSM4612499,1
GEO-GSE152316,GEO-GSM4612500,1
GEO-GSE152316,GEO-GSM4612501,1
GEO-GSE152316,GEO-GSM4612502,1
GEO-GSE152316,GEO-GSM4612503,1
GEO-GSE152316,GEO-GSM4612504,1
GEO-GSE152316,GEO-GSM4612505,1
GEO-GSE152316,GEO-GSM4612506,1
GEO-GSE152316,GEO-GSM4612507,1
GEO-GSE152316,GEO-GSM4612508,1
GEO-GSE152316,GEO-GSM4612509,1
GEO-GSE152316,GEO-GSM4612510,1
GEO-GSE152316,GEO-GSM4612511,1
GEO-GSE152316,GEO-GSM4612512,1
GEO-GSE152316,GEO-GSM4612513,1
GEO-GSE152316,GEO-GSM4612514,1
GEO-GSE152316,GEO-GSM4612515,1
GEO-GSE152316,GEO-GSM4612516,1
GEO-GSE152316,GEO-GSM4612517,1
GEO-GSE152316,GEO-GSM4612518,1
GEO-GSE152316,GEO-GSM4612519,1
GEO-GSE152316,GEO-GSM4612520,1
GEO-GSE152316,GEO-GSM4612521,1
GEO-GSE152316,GEO-GSM4612522,1
GEO-GSE152316,GEO-GSM4612523,1
GEO-GSE152316,GEO-GSM4612524,1
GEO-GSE152316,GEO-GSM4612525,1
GEO-GSE152316,GEO-GSM4612526,1
GEO-GSE152316,GEO-GSM4612527,1
GEO-GSE152316,GEO-GSM4612528,1
GEO-GSE152316,GEO-GSM4612529,1
GEO-GSE152316,GEO-GSM4612530,1
GEO-GSE152316,GEO-GSM4612531,1
GEO-GSE152316,GEO-GSM4612532,1
GEO-GSE152316,GEO-GSM4612533,1
GEO-GSE152316,GEO-GSM4612534,1
GEO-GSE152316,GEO-GSM4612535,1
GEO-GSE152316,GEO-GSM4612536,1
GEO-GSE152316,GEO-GSM4612537,1
GEO-GSE152316,GEO-GSM4612538,1
GEO-GSE152316,GEO-GSM4612539,1
GEO-GSE152316,GEO-GSM4612540,1
GEO-GSE152316,GEO-GSM4612541,1
GEO-GSE152316,GEO-GSM4612542,1
GEO-GSE152316,GEO-GSM4612543,1
GEO-GSE152316,GEO-GSM4612544,1
GEO-GSE152316,GEO-GSM4612545,1
GEO-GSE152316,GEO-GSM4612546,1
GEO-GSE152316,GEO-GSM4612547,1
GEO-GSE152316,GEO-GSM4612548,1
GEO-GSE152316,GEO-GSM4612549,1
GEO-GSE152316,GEO-GSM4612550,1
GEO-GSE152316,GEO-GSM4612551,1
GEO-GSE152316,GEO-GSM4612552,1
GEO-GSE152316,GEO-GSM4612553,1
GEO-GSE152316,GEO-GSM4612554,1
GEO-GSE152316,GEO-GSM4612555,1
GEO-GSE152316,GEO-GSM4612556,1
GEO-GSE152316,GEO-GSM4612557,1
GEO-GSE152316,GEO-GSM4612558,1
GEO-GSE152316,GEO-GSM4612559,1
GEO-GSE152316,GEO-GSM4612560,1
GEO-GSE152316,GEO-GSM4612561,1
GEO-GSE152316,GEO-GSM4612562,1
GEO-GSE152316,GEO-GSM4612563,1
GEO-GSE152316,GEO-GSM4612564,1
GEO-GSE152316,GEO-GSM4612565,1
GEO-GSE152316,GEO-GSM4612566,1
GEO-GSE152316,GEO-GSM4612567,1
GEO-GSE152316,GEO-GSM4612568,1
GEO-GSE152316,GEO-GSM4612569,1
GEO-GSE152316,GEO-GSM4612570,1
GEO-GSE152316,GEO-GSM4612571,1
GEO-GSE152316,GEO-GSM4612572,1
GEO-GSE152316,GEO-GSM4612573,1
GEO-GSE152316,GEO-GSM4612574,1
GEO-GSE152316,GEO-GSM4612575,1
GEO-GSE152316,GEO-GSM4612576,1
GEO-GSE152316,GEO-GSM4612577,1
GEO-GSE152316,GEO-GSM4612578,1
GEO-GSE152316,GEO-GSM4612579,1
GEO-GSE152316,GEO-GSM4612580,1
GEO-GSE152316,GEO-GSM4612581,1
GEO-GSE152316,GEO-GSM4612582,1
GEO-GSE152316,GEO-GSM4612583,1
GEO-GSE152316,GEO-GSM4612584,1
GEO-GSE152316,GEO-GSM4612585,1
GEO-GSE152316,GEO-GSM4612586,1
GEO-GSE152316,GEO-GSM4612587,1
GEO-GSE152316,GEO-GSM4612588,1
GEO-GSE152316,GEO-GSM4612589,1
GEO-GSE152316,GEO-GSM4612590,1
GEO-GSE152316,GEO-GSM4612591,1
GEO-GSE152316,GEO-GSM4612592,1
GEO-GSE152316,GEO-GSM4612593,1
GEO-GSE152316,GEO-GSM4612594,1
GEO-GSE152316,GEO-GSM4612595,1
GEO-GSE152316,GEO-GSM4612596,1
GEO-GSE152316,GEO-GSM4612597,1
GEO-GSE152316,GEO-GSM4612598,1
GEO-GSE152316,GEO-GSM4612599,1
GEO-GSE152316,GEO-GSM4612600,1
GEO-GSE152316,GEO-GSM4612601,1
GEO-GSE152316,GEO-GSM4612602,1
GEO-GSE152316,GEO-GSM4612603,1
GEO-GSE152316,GEO-GSM4612604,1
GEO-GSE152316,GEO-GSM4612605,1
GEO-GSE152316,GEO-GSM4612606,1
GEO-GSE152316,GEO-GSM4612607,1
GEO-GSE152316,GEO-GSM4612608,1
GEO-GSE152316,GEO-GSM4612609,1
GEO-GSE152316,GEO-GSM4612610,1
GEO-GSE152316,GEO-GSM4612611,1
GEO-GSE152316,GEO-GSM4612612,1
GEO-GSE152316,GEO-GSM4612613,1
GEO-GSE152316,GEO-GSM4612614,1
GEO-GSE152316,GEO-GSM4612615,1
GEO-GSE152316,GEO-GSM4612616,1
GEO-GSE152316,GEO-GSM4612617,1
GEO-GSE152316,GEO-GSM4612618,1
GEO-GSE152316,GEO-GSM4612619,1
GEO-GSE152316,GEO-GSM4612620,1
GEO-GSE152316,GEO-GSM4612621,1
GEO-GSE152316,GEO-GSM4612622,1
GEO-GSE152316,GEO-GSM4612623,1
GEO-GSE152316,GEO-GSM4612624,1
GEO-GSE152316,GEO-GSM4612625,1
GEO-GSE152316,GEO-GSM4612626,1
GEO-GSE152316,GEO-GSM4612627,1
GEO-GSE152316,GEO-GSM4612628,1
GEO-GSE152316,GEO-GSM4612629,1
GEO-GSE152316,GEO-GSM4612630,1
GEO-GSE152316,GEO-GSM4612631,1
GEO-GSE152316,GEO-GSM4612632,1
GEO-GSE152316,GEO-GSM4612633,1
GEO-GSE152316,GEO-GSM4612634,1
GEO-GSE152316,GEO-GSM4612635,1
GEO-GSE152316,GEO-GSM4612636,1
GEO-GSE152316,GEO-GSM4612637,1
GEO-GSE152316,GEO-GSM4612638,1
GEO-GSE152316,GEO-GSM4612639,1
GEO-GSE152316,GEO-GSM4612640,1
GEO-GSE152316,GEO-GSM4612641,1
GEO-GSE152316,GEO-GSM4612642,1
GEO-GSE152316,GEO-GSM4612643,1
GEO-GSE152316,GEO-GSM4612644,1
GEO-GSE152316,GEO-GSM4612645,1
GEO-GSE152316,GEO-GSM4612646,1
GEO-GSE152316,GEO-GSM4612647,1
GEO-GSE152316,GEO-GSM4612648,1
GEO-GSE152316,GEO-GSM4612649,1
GEO-GSE152316,GEO-GSM4612650,1
GEO-GSE152316,GEO-GSM4612651,1
GEO-GSE152316,GEO-GSM4612652,1
GEO-GSE152316,GEO-GSM4612653,1
GEO-GSE152316,GEO-GSM4612654,1
GEO-GSE152316,GEO-GSM4612655,1
GEO-GSE152316,GEO-GSM4612656,1
GEO-GSE152316,GEO-GSM4612657,1
GEO-GSE152316,GEO-GSM4612658,1
GEO-GSE152316,GEO-GSM4612659,1
GEO-GSE152316,GEO-GSM4612660,1
GEO-GSE152316,GEO-GSM4612661,1
GEO-GSE152316,GEO-GSM4612662,1
GEO-GSE152316,GEO-GSM4612663,1
GEO-GSE152316,GEO-GSM4612664,1
GEO-GSE152316,GEO-GSM4612665,1
GEO-GSE152316,GEO-GSM4612666,1
GEO-GSE152316,GEO-GSM4612667,1
GEO-GSE152316,GEO-GSM4612668,1
GEO-GSE152316,GEO-GSM4612669,1
GEO-GSE152316,GEO-GSM4612670,1
GEO-GSE152316,GEO-GSM4612671,1
GEO-GSE152316,GEO-GSM4612672,1
GEO-GSE152316,GEO-GSM4612673,1
GEO-GSE152316,GEO-GSM4612674,1
GEO-GSE152316,GEO-GSM4612675,1
GEO-GSE152316,GEO-GSM4612676,1
GEO-GSE152316,GEO-GSM4612677,1
GEO-GSE152316,GEO-GSM4612678,1
GEO-GSE152316,GEO-GSM4612679,1
GEO-GSE152316,GEO-GSM4612680,1
GEO-GSE152316,GEO-GSM4612681,1
GEO-GSE152316,GEO-GSM4612682,1
GEO-GSE152316,GEO-GSM4612683,1
GEO-GSE152316,GEO-GSM4612684,1
GEO-GSE152316,GEO-GSM4612685,1
GEO-GSE152316,GEO-GSM4612686,1
GEO-GSE152316,GEO-GSM4612687,1
GEO-GSE152316,GEO-GSM4612688,1
GEO-GSE152316,GEO-GSM4612689,1
GEO-GSE152316,GEO-GSM4612690,1
GEO-GSE152316,GEO-GSM4612691,1
GEO-GSE152316,GEO-GSM4612692,1
GEO-GSE152316,GEO-GSM4612693,1
GEO-GSE152316,GEO-GSM4612694,1
GEO-GSE152316,GEO-GSM4612695,1
GEO-GSE152316,GEO-GSM4612696,1
GEO-GSE152316,GEO-GSM4612697,1
GEO-GSE152316,GEO-GSM4612698,1
GEO-GSE152316,GEO-GSM4612699,1
GEO-GSE152316,GEO-GSM4612700,1
GEO-GSE152316,GEO-GSM4612701,1
GEO-GSE152316,GEO-GSM4612702,1
GEO-GSE152316,GEO-GSM4612703,1
GEO-GSE152316,GEO-GSM4612704,1
GEO-GSE152316,GEO-GSM4612705,1
GEO-GSE152316,GEO-GSM4612706,1
GEO-GSE152316,GEO-GSM4612707,1
GEO-GSE152316,GEO-GSM4612708,1
GEO-GSE152316,GEO-GSM4612709,1
GEO-GSE152316,GEO-GSM4612710,1
GEO-GSE152316,GEO-GSM4612711,1
GEO-GSE152316,GEO-GSM4612712,1
GEO-GSE152316,GEO-GSM4612713,1
GEO-GSE152316,GEO-GSM4612714,1
GEO-GSE152316,GEO-GSM4612715,1
GEO-GSE152316,GEO-GSM4612716,1
GEO-GSE152316,GEO-GSM4612717,1
GEO-GSE152316,GEO-GSM4612718,1
GEO-GSE152316,GEO-GSM4612719,1
GEO-GSE152316,GEO-GSM4612720,1
GEO-GSE152316,GEO-GSM4612721,1
GEO-GSE152316,GEO-GSM4612722,1
GEO-GSE152316,GEO-GSM4612723,1
GEO-GSE152316,GEO-GSM4612724,1
GEO-GSE152316,GEO-GSM4612725,1
GEO-GSE152316,GEO-GSM4612726,1
GEO-GSE152316,GEO-GSM4612727,1
GEO-GSE152316,GEO-GSM4612728,1
GEO-GSE152316,GEO-GSM4612729,1
GEO-GSE152316,GEO-GSM4612730,1
GEO-GSE152316,GEO-GSM4612731,1
GEO-GSE152316,GEO-GSM4612732,1
GEO-GSE152316,GEO-GSM4612733,1
GEO-GSE152316,GEO-GSM4612734,1
GEO-GSE152316,GEO-GSM4612735,1
GEO-GSE152316,GEO-GSM4612736,1
GEO-GSE152316,GEO-GSM4612737,1
GEO-GSE152316,GEO-GSM4612738,1
GEO-GSE152316,GEO-GSM4612739,1
GEO-GSE152316,GEO-GSM4612740,1
GEO-GSE152316,GEO-GSM4612741,1
GEO-GSE152316,GEO-GSM4612742,1
GEO-GSE152316,GEO-GSM4612743,1
GEO-GSE152316,GEO-GSM4612744,1
GEO-GSE152316,GEO-GSM4612745,1
GEO-GSE152316,GEO-GSM4612746,1
GEO-GSE152316,GEO-GSM4612747,1
GEO-GSE152316,GEO-GSM4612748,1
GEO-GSE152316,GEO-GSM4612749,1
GEO-GSE152316,GEO-GSM4612750,1
GEO-GSE152316,GEO-GSM4612751,1
GEO-GSE152316,GEO-GSM4612752,1
GEO-GSE152316,GEO-GSM4612753,1
GEO-GSE152316,GEO-GSM4612754,1
GEO-GSE152316,GEO-GSM4612755,1
GEO-GSE152316,GEO-GSM4612756,1
GEO-GSE152316,GEO-GSM4612757,1
GEO-GSE152316,GEO-GSM4612758,1
GEO-GSE152316,GEO-GSM4612759,1
GEO-GSE152316,GEO-GSM4612760,1
GEO-GSE152316,GEO-GSM4612761,1
GEO-GSE152316,GEO-GSM4612762,1
GEO-GSE152316,GEO-GSM4612763,1
GEO-GSE152316,GEO-GSM4612764,1
GEO-GSE152316,GEO-GSM4612765,1
GEO-GSE152316,GEO-GSM4612766,1
GEO-GSE152316,GEO-GSM4612767,1
GEO-GSE152316,GEO-GSM4612768,1
GEO-GSE152316,GEO-GSM4612769,1
GEO-GSE152316,GEO-GSM4612770,1
GEO-GSE154405,GEO-GSM4670648,5293
GEO-GSE154405,GEO-GSM4670649,5633
GEO-GSE154405,GEO-GSM4670650,8391
GEO-GSE154405,GEO-GSM4670651,5643
GEO-GSE154405,GEO-GSM4670652,1620
GEO-GSE154405,GEO-GSM4670653,4760
GEO-GSE154405,GEO-GSM4670654,5315
GEO-GSE154405,GEO-GSM4670655,6789
GEO-GSE154405,GEO-GSM4670656,7228
GEO-GSE158636,GEO-GSM4804820,11318
GEO-GSE158636,GEO-GSM4804821,6408
GEO-GSE162335,GEO-GSM4949912,2275
GEO-GSE162335,GEO-GSM4949913,3489
GEO-GSE162335,GEO-GSM4949914,4855
GEO-GSE162335,GEO-GSM4949915,3504
GEO-GSE162335,GEO-GSM4949916,2755
GEO-GSE162335,GEO-GSM4949917,1398
GEO-GSE162335,GEO-GSM4949918,1539
GEO-GSE162335,GEO-GSM4949919,2607
GEO-GSE162335,GEO-GSM4949920,1009
GEO-GSE162335,GEO-GSM4949921,2454
GEO-GSE162335,GEO-GSM4949922,2741
GEO-GSE162335,GEO-GSM4949923,3707
GEO-GSE162335,GEO-GSM4949924,1157
GEO-GSE162335,GEO-GSM4949925,2308
GEO-GSE162335,GEO-GSM4949926,1758
GEO-GSE162335,GEO-GSM4949927,1519
GEO-GSE162335,GEO-GSM4949928,1591
GEO-GSE162335,GEO-GSM4949929,1570
GEO-GSE162335,GEO-GSM4949930,1140
GEO-GSE162335,GEO-GSM4949931,1495
GEO-GSE162335,GEO-GSM4949932,2268
GEO-GSE162335,GEO-GSM4949933,2648
GEO-GSE162335,GEO-GSM4949934,1993
GEO-GSE162335,GEO-GSM4949935,1540
GEO-GSE162335,GEO-GSM4949936,1177
GEO-GSE162335,GEO-GSM4949937,1434
GEO-GSE163314,GEO-GSM4976992,846
GEO-GSE163314,GEO-GSM4976993,4980
GEO-GSE163314,GEO-GSM4976994,347
GEO-GSE163314,GEO-GSM4976995,6082
GEO-GSE163314,GEO-GSM4976996,292
GEO-GSE163314,GEO-GSM4976997,7381
GEO-GSE163314,GEO-GSM4976998,324
GEO-GSE163314,GEO-GSM4976999,6653
GEO-GSE163314,GEO-GSM4977000,1997
GEO-GSE163314,GEO-GSM4977001,3737
GEO-GSE163314,GEO-GSM4977002,2665
GEO-GSE163314,GEO-GSM4977003,11654
GEO-GSE163314,GEO-GSM4977004,2962
GEO-GSE163314,GEO-GSM4977005,6041
GEO-GSE163314,GEO-GSM4977006,1480
GEO-GSE163314,GEO-GSM4977007,3974
GEO-GSE164985,GEO-GSM5024087,13214
GEO-GSE164985,GEO-GSM5024088,14758
GEO-GSE164985,GEO-GSM5024089,15336
GEO-GSE164985,GEO-GSM5024090,13402
GEO-GSE164985,GEO-GSM5024091,13200
GEO-GSE164985,GEO-GSM5024092,10333
GEO-GSE164985,GEO-GSM5024093,12847
GEO-GSE166555,GEO-GSM5075659,1208
GEO-GSE166555,GEO-GSM5075660,2044
GEO-GSE166555,GEO-GSM5075661,1307
GEO-GSE166555,GEO-GSM5075662,3336
GEO-GSE166555,GEO-GSM5075663,3088
GEO-GSE166555,GEO-GSM5075664,3997
GEO-GSE166555,GEO-GSM5075665,2889
GEO-GSE166555,GEO-GSM5075666,4112
GEO-GSE166555,GEO-GSM5075667,4566
GEO-GSE166555,GEO-GSM5075668,4122
GEO-GSE166555,GEO-GSM5075669,3670
GEO-GSE166555,GEO-GSM5075670,3424
GEO-GSE166555,GEO-GSM5075671,2956
GEO-GSE166555,GEO-GSM5075672,3501
GEO-GSE166555,GEO-GSM5075673,3894
GEO-GSE166555,GEO-GSM5075674,2919
GEO-GSE166555,GEO-GSM5075675,3030
GEO-GSE166555,GEO-GSM5075676,5532
GEO-GSE166555,GEO-GSM5075677,882
GEO-GSE166555,GEO-GSM5075678,417
GEO-GSE166555,GEO-GSM5075679,1167
GEO-GSE166555,GEO-GSM5075680,1255
GEO-GSE166555,GEO-GSM5075681,704
GEO-GSE166555,GEO-GSM5075682,1117
GEO-GSE166555,GEO-GSM5075683,3565
GEO-GSE182270,GEO-GSM5525955,7752
GEO-GSE182270,GEO-GSM5525956,5506
GEO-GSE182270,GEO-GSM5525957,10515
GEO-GSE182270,GEO-GSM5525958,5389
GEO-GSE182270,GEO-GSM5525959,6014
GEO-GSE182270,GEO-GSM5525960,6195
GEO-GSE182270,GEO-GSM5525961,5479
GEO-GSE182270,GEO-GSM5525962,5092
GEO-GSE182270,GEO-GSM5525963,6055
GEO-GSE185224,GEO-GSM5655495,7510
GEO-GSE185224,GEO-GSM5655497,9385
GEO-GSE185224,GEO-GSM5655499,5708
GEO-GSE188711,GEO-GSM5688706,4719
GEO-GSE188711,GEO-GSM5688707,4971
GEO-GSE188711,GEO-GSM5688708,6487
GEO-GSE188711,GEO-GSM5688709,6231
GEO-GSE188711,GEO-GSM5688710,4476
GEO-GSE188711,GEO-GSM5688711,6432
GEO-GSE196965,GEO-GSM5905878,2667
GEO-GSE196965,GEO-GSM5905879,8213
GEO-GSE196965,GEO-GSM5905880,2619
GEO-GSE196965,GEO-GSM5905881,5771
GEO-GSE196965,GEO-GSM5905882,3819
GEO-GSE196965,GEO-GSM5905883,4835
GEO-GSE196965,GEO-GSM5905884,3355
GEO-GSE196965,GEO-GSM5905885,3687
GEO-GSE196965,GEO-GSM5905886,3113
GEO-GSE196965,GEO-GSM5905887,4380
GEO-GSE196965,GEO-GSM5905888,3002
GEO-GSE200997,GEO-GSM6048346,1694
GEO-GSE200997,GEO-GSM6048347,1677
GEO-GSE200997,GEO-GSM6048348,1186
GEO-GSE200997,GEO-GSM6048349,1589
GEO-GSE200997,GEO-GSM6048350,173
GEO-GSE200997,GEO-GSM6048351,1693
GEO-GSE200997,GEO-GSM6048352,1499
GEO-GSE200997,GEO-GSM6048353,995
GEO-GSE200997,GEO-GSM6048354,1648
GEO-GSE200997,GEO-GSM6048355,699
GEO-GSE200997,GEO-GSM6048356,2866
GEO-GSE200997,GEO-GSM6048357,4047
GEO-GSE200997,GEO-GSM6048358,2654
GEO-GSE200997,GEO-GSM6048359,4075
GEO-GSE200997,GEO-GSM6048360,3678
GEO-GSE200997,GEO-GSM6048361,1381
GEO-GSE200997,GEO-GSM6048362,2675
GEO-GSE200997,GEO-GSM6048363,717
GEO-GSE200997,GEO-GSM6048364,1574
GEO-GSE200997,GEO-GSM6048365,2837
GEO-GSE200997,GEO-GSM6048366,4645
GEO-GSE200997,GEO-GSM6048367,4768
GEO-GSE200997,GEO-GSM6048368,1035
GEO-GSE201348,GEO-GSM6061645,1651
GEO-GSE201348,GEO-GSM6061646,3842
GEO-GSE201348,GEO-GSM6061647,2396
GEO-GSE201348,GEO-GSM6061648,2969
GEO-GSE201348,GEO-GSM6061649,4656
GEO-GSE201348,GEO-GSM6061650,2713
GEO-GSE201348,GEO-GSM6061651,3285
GEO-GSE201348,GEO-GSM6061652,1271
GEO-GSE201348,GEO-GSM6061653,3054
GEO-GSE201348,GEO-GSM6061654,2213
GEO-GSE201348,GEO-GSM6061655,3582
GEO-GSE201348,GEO-GSM6061656,6743
GEO-GSE201348,GEO-GSM6061657,7892
GEO-GSE201348,GEO-GSM6061658,14641
GEO-GSE201348,GEO-GSM6061659,2678
GEO-GSE201348,GEO-GSM6061660,4490
GEO-GSE201348,GEO-GSM6061661,1579
GEO-GSE201348,GEO-GSM6061662,7607
GEO-GSE201348,GEO-GSM6061663,67799
GEO-GSE201348,GEO-GSM6061664,9591
GEO-GSE201348,GEO-GSM6061665,2243
GEO-GSE201348,GEO-GSM6061666,7095
GEO-GSE201348,GEO-GSM6061667,6455
GEO-GSE201348,GEO-GSM6061668,3535
GEO-GSE201348,GEO-GSM6061669,6559
GEO-GSE201348,GEO-GSM6061670,4547
GEO-GSE201348,GEO-GSM6061671,5119
GEO-GSE201348,GEO-GSM6061672,5360
GEO-GSE201348,GEO-GSM6061673,4091
GEO-GSE201348,GEO-GSM6061674,489
GEO-GSE201348,GEO-GSM6061675,226
GEO-GSE201348,GEO-GSM6061676,3260
GEO-GSE201348,GEO-GSM6061677,3268
GEO-GSE201348,GEO-GSM6061678,4015
GEO-GSE201348,GEO-GSM6061679,4677
GEO-GSE201348,GEO-GSM6061680,4434
GEO-GSE201348,GEO-GSM6061681,2499
GEO-GSE201348,GEO-GSM6061682,2497
GEO-GSE201348,GEO-GSM6061683,5529
GEO-GSE201348,GEO-GSM6061684,3713
GEO-GSE201348,GEO-GSM6061685,3234
GEO-GSE201348,GEO-GSM6061686,1136
GEO-GSE201348,GEO-GSM6061687,6554
GEO-GSE201348,GEO-GSM6061688,5571
GEO-GSE201348,GEO-GSM6061689,4485
GEO-GSE201348,GEO-GSM6061690,1038
GEO-GSE201348,GEO-GSM6061691,4680
GEO-GSE201348,GEO-GSM6061692,5536
GEO-GSE201348,GEO-GSM6061693,3729
GEO-GSE201348,GEO-GSM6061694,2234
GEO-GSE201348,GEO-GSM6061695,1519
GEO-GSE201348,GEO-GSM6061696,8614
GEO-GSE201348,GEO-GSM6061697,3277
GEO-GSE201348,GEO-GSM6061698,1179
GEO-GSE201348,GEO-GSM6061699,1592
GEO-GSE201348,GEO-GSM6061700,7050
GEO-GSE201348,GEO-GSM6061701,982
GEO-GSE201348,GEO-GSM6061702,9109
GEO-GSE201348,GEO-GSM6061703,1499
GEO-GSE201348,GEO-GSM6061704,4038
GEO-GSE201348,GEO-GSM6061705,1630
GEO-GSE201348,GEO-GSM6061706,4818
GEO-GSE201348,GEO-GSM6061707,7458
GEO-GSE201348,GEO-GSM6061708,174
GEO-GSE201348,GEO-GSM6061709,4379
GEO-GSE201348,GEO-GSM6061710,2193
GEO-GSE201348,GEO-GSM6061711,2692
GEO-GSE201348,GEO-GSM6061712,3145
GEO-GSE201348,GEO-GSM6061713,3532
GEO-GSE201348,GEO-GSM6061714,5322
GEO-GSE201348,GEO-GSM6061715,13214
GEO-GSE201348,GEO-GSM6061716,5189
GEO-GSE155900,GEO-GSM4715429,6731
GEO-GSE155900,GEO-GSM4715430,6247
GEO-GSE155900,GEO-GSM4715431,2422
GEO-GSE155900,GEO-GSM4715432,2278
GEO-GSE155900,GEO-GSM4715433,19725
GEO-GSE155900,GEO-GSM4715434,4083
GEO-GSE155900,GEO-GSM4715435,14294
GEO-GSE155900,GEO-GSM4715436,12644
GEO-GSE155900,GEO-GSM4715437,15639
GEO-GSE155900,GEO-GSM4715438,8242
GEO-GSE128169,GEO-GSM3666096,3768
GEO-GSE128169,GEO-GSM3666097,4974
GEO-GSE128169,GEO-GSM3666098,3542
GEO-GSE128169,GEO-GSM3666099,5037
GEO-GSE128169,GEO-GSM3666100,7885
GEO-GSE128169,GEO-GSM3666101,4723
GEO-GSE128169,GEO-GSM3666102,4882
GEO-GSE128169,GEO-GSM3666103,3763
GEO-GSE128169,GEO-GSM3666104,4723
GEO-GSE128169,GEO-GSM3666105,6348
GEO-GSE128169,GEO-GSM3666106,7252
GEO-GSE128169,GEO-GSM3666107,5358
GEO-GSE128169,GEO-GSM3666108,5821
GEO-GSE128169,GEO-GSM3909673,11753
GEO-GSE128169,GEO-GSM3909674,18209
GEO-GSE128169,GEO-GSM3909675,48481
GEO-GSE123904,GEO-GSM3516662,303
GEO-GSE123904,GEO-GSM3516663,4487
GEO-GSE123904,GEO-GSM3516664,1204
GEO-GSE123904,GEO-GSM3516665,3244
GEO-GSE123904,GEO-GSM3516666,2859
GEO-GSE123904,GEO-GSM3516667,3978
GEO-GSE123904,GEO-GSM3516668,2731
GEO-GSE123904,GEO-GSM3516669,1603
GEO-GSE123904,GEO-GSM3516670,762
GEO-GSE123904,GEO-GSM3516671,1229
GEO-GSE123904,GEO-GSM3516672,3836
GEO-GSE123904,GEO-GSM3516673,3801
GEO-GSE123904,GEO-GSM3516674,335
GEO-GSE123904,GEO-GSM3516675,2470
GEO-GSE123904,GEO-GSM3516676,3090
GEO-GSE123904,GEO-GSM3516677,2566
GEO-GSE123904,GEO-GSM3516678,679
GEO-GSE159354,GEO-GSM4827158,1672
GEO-GSE159354,GEO-GSM4827159,7337
GEO-GSE159354,GEO-GSM4827160,4762
GEO-GSE159354,GEO-GSM4827161,5470
GEO-GSE159354,GEO-GSM4827162,3259
GEO-GSE159354,GEO-GSM4827163,4636
GEO-GSE159354,GEO-GSM4827164,2209
GEO-GSE159354,GEO-GSM4827165,3774
GEO-GSE159354,GEO-GSM4827166,2428
GEO-GSE159354,GEO-GSM4827167,1718
GEO-GSE159354,GEO-GSM4827168,6646
GEO-GSE159354,GEO-GSM4827169,4701
GEO-GSE159354,GEO-GSM4827170,4976
GEO-GSE159354,GEO-GSM4827171,5844
GEO-GSE159354,GEO-GSM4827172,3297
GEO-GSE159354,GEO-GSM4827173,5048
GEO-GSE159354,GEO-GSM4827174,3777
GEO-GSE159354,GEO-GSM4827175,3955
GEO-GSE159354,GEO-GSM4827176,4121
GEO-GSE159354,GEO-GSM4827177,4213
GEO-GSE159354,GEO-GSM4827178,5303
GEO-GSE159354,GEO-GSM4827179,3945
GEO-GSE159354,GEO-GSM4827180,5858
GEO-GSE159354,GEO-GSM4827181,1547
GEO-GSE159354,GEO-GSM4827182,5983
GEO-GSE159354,GEO-GSM4827183,2906
GEO-GSE159354,GEO-GSM4827184,3792
GEO-GSE159354,GEO-GSM4827185,5027
GEO-GSE159354,GEO-GSM4827186,899
GEO-GSE159354,GEO-GSM4827187,4413
GEO-GSE159354,GEO-GSM4827188,3957
GEO-GSE159354,GEO-GSM4827189,2465
GEO-GSE159354,GEO-GSM4827190,2700
GEO-GSE159354,GEO-GSM4827191,3611
GEO-GSE159354,GEO-GSM4827192,5981
