# Derived extract of Supplementary Data 1, scFoundation (Hao et al. 2024, Nature Methods, doi:10.1038/s41592-024-02305-7).
# derived-from-sha256: 786c6962d01bbeeffcc88335d2e2e762f333daf399c649bec3916bc4ef2209d0
# Columns kept: project_ID, sample_ID, cell_number_reserved — every row, values unchanged. The publisher file itself is not committed.
project_ID,sample_ID,cell_number_reserved
GEO-GSE143753,GEO-GSM4274189,7351
GEO-GSE143753,GEO-GSM4274190,7239
GEO-GSE143753,GEO-GSM4274194,2932
GEO-GSE143753,GEO-GSM4609136,4355
GEO-GSE161921,GEO-GSM4923401,5157
GEO-GSE161921,GEO-GSM4923402,4895
GEO-GSE161921,GEO-GSM4923403,15335
GEO-GSE161921,GEO-GSM4923404,12975
GEO-GSE113675,GEO-GSM3110967,3668
GEO-GSE113675,GEO-GSM3417508,4981
GEO-GSE113675,GEO-GSM3417509,2829
GEO-GSE113675,GEO-GSM3417510,2276
GEO-GSE113675,GEO-GSM3110968,4278
GEO-GSE113675,GEO-GSM3417506,4703
GEO-GSE113675,GEO-GSM3417507,4979
GEO-GSE147143,GEO-GSM4419186,2146
GEO-GSE147143,GEO-GSM4419187,10736
GEO-GSE147143,GEO-GSM4419185,7295
GEO-GSE189202,GEO-GSM5696059,6967
GEO-GSE189202,GEO-GSM5696060,10164
GEO-GSE189202,GEO-GSM5696061,8870
GEO-GSE189202,GEO-GSM5696058,13184
GEO-GSE161801,GEO-GSM4914650,1504
GEO-GSE161801,GEO-GSM4914656,6232
GEO-GSE161801,GEO-GSM4914657,1840
GEO-GSE161801,GEO-GSM4914658,809
GEO-GSE161801,GEO-GSM4914662,1747
GEO-GSE161801,GEO-GSM4914663,4623
GEO-GSE161801,GEO-GSM4914665,4298
GEO-GSE161801,GEO-GSM4914668,3882
GEO-GSE161801,GEO-GSM4914671,2667
GEO-GSE161801,GEO-GSM4914672,1630
GEO-GSE161801,GEO-GSM4914677,481
GEO-GSE161801,GEO-GSM4914686,2303
GEO-GSE161801,GEO-GSM4914688,569
GEO-GSE161801,GEO-GSM4914692,3206
GEO-GSE161801,GEO-GSM4914694,2688
GEO-GSE161801,GEO-GSM4914695,1662
GEO-GSE161801,GEO-GSM4914703,3265
GEO-GSE161801,GEO-GSM4914704,4575
GEO-GSE161801,GEO-GSM4914708,3940
GEO-GSE161801,GEO-GSM4914709,1923
GEO-GSE161801,GEO-GSM4914714,3804
GEO-GSE161801,GEO-GSM4914715,1861
GEO-GSE161801,GEO-GSM4914719,303
GEO-GSE161801,GEO-GSM4914721,1017
GEO-GSE161801,GEO-GSM4914729,2417
GEO-GSE161801,GEO-GSM4914732,1707
GEO-GSE161801,GEO-GSM4914734,800
GEO-GSE161801,GEO-GSM4914652,3372
GEO-GSE161801,GEO-GSM4914653,1051
GEO-GSE161801,GEO-GSM4914654,1782
GEO-GSE161801,GEO-GSM4914655,4273
GEO-GSE161801,GEO-GSM4914660,3256
GEO-GSE161801,GEO-GSM4914664,4492
GEO-GSE161801,GEO-GSM4914666,3267
GEO-GSE161801,GEO-GSM4914667,1848
GEO-GSE161801,GEO-GSM4914669,3774
GEO-GSE161801,GEO-GSM4914670,409
GEO-GSE161801,GEO-GSM4914676,2255
GEO-GSE161801,GEO-GSM4914678,2548
GEO-GSE161801,GEO-GSM4914679,1099
GEO-GSE161801,GEO-GSM4914680,3717
GEO-GSE161801,GEO-GSM4914682,6109
GEO-GSE161801,GEO-GSM4914683,3972
GEO-GSE161801,GEO-GSM4914685,2492
GEO-GSE161801,GEO-GSM4914687,995
GEO-GSE161801,GEO-GSM4914693,338
GEO-GSE161801,GEO-GSM4914696,1883
GEO-GSE161801,GEO-GSM4914702,3130
GEO-GSE161801,GEO-GSM4914706,3519
GEO-GSE161801,GEO-GSM4914712,1741
GEO-GSE161801,GEO-GSM4914713,2500
GEO-GSE161801,GEO-GSM4914720,2247
GEO-GSE161801,GEO-GSM4914722,3557
GEO-GSE161801,GEO-GSM4914723,5773
GEO-GSE161801,GEO-GSM4914731,1013
GEO-GSE161801,GEO-GSM4914735,520
GEO-GSE161801,GEO-GSM4914649,37
GEO-GSE161801,GEO-GSM4914651,1726
GEO-GSE161801,GEO-GSM4914659,349
GEO-GSE161801,GEO-GSM4914661,259
GEO-GSE161801,GEO-GSM4914673,3469
GEO-GSE161801,GEO-GSM4914674,3021
GEO-GSE161801,GEO-GSM4914675,2751
GEO-GSE161801,GEO-GSM4914681,1063
GEO-GSE161801,GEO-GSM4914684,204
GEO-GSE161801,GEO-GSM4914689,1420
GEO-GSE161801,GEO-GSM4914690,3276
GEO-GSE161801,GEO-GSM4914691,1275
GEO-GSE161801,GEO-GSM4914697,2407
GEO-GSE161801,GEO-GSM4914698,1033
GEO-GSE161801,GEO-GSM4914699,6585
GEO-GSE161801,GEO-GSM4914700,8849
GEO-GSE161801,GEO-GSM4914701,3433
GEO-GSE161801,GEO-GSM4914705,1452
GEO-GSE161801,GEO-GSM4914707,684
GEO-GSE161801,GEO-GSM4914710,2618
GEO-GSE161801,GEO-GSM4914711,144
GEO-GSE161801,GEO-GSM4914716,2193
GEO-GSE161801,GEO-GSM4914717,118
GEO-GSE161801,GEO-GSM4914718,5505
GEO-GSE161801,GEO-GSM4914724,2262
GEO-GSE161801,GEO-GSM4914725,2106
GEO-GSE161801,GEO-GSM4914726,3829
GEO-GSE161801,GEO-GSM4914727,4575
GEO-GSE161801,GEO-GSM4914728,1930
GEO-GSE161801,GEO-GSM4914730,667
GEO-GSE161801,GEO-GSM4914733,479
GEO-GSE163018,GEO-GSM4970298,8295
GEO-GSE163018,GEO-GSM4970299,7756
GEO-GSE163018,GEO-GSM4970303,10909
GEO-GSE163018,GEO-GSM4970304,11172
GEO-GSE139409,GEO-GSM4140811,15004
GEO-GSE139409,GEO-GSM4140810,22804
GEO-GSE157525,GEO-GSM4769385,6294
GEO-GSE157525,GEO-GSM4769380,6237
GEO-GSE157525,GEO-GSM4769381,5587
GEO-GSE157525,GEO-GSM4769382,6048
GEO-GSE157525,GEO-GSM4769383,5968
GEO-GSE157525,GEO-GSM4769384,7531
GEO-GSE158971,GEO-GSM4816782,12972
GEO-GSE158971,GEO-GSM4816781,12354
GEO-GSE158971,GEO-GSM4816780,11987
GEO-GSE155850,GEO-GSM4712969,12738
GEO-GSE155850,GEO-GSM4712971,6787
GEO-GSE155850,GEO-GSM4712970,10967
GEO-GSE155850,GEO-GSM4712972,5878
GEO-GSE133028,GEO-GSM5264634,485
GEO-GSE133028,GEO-GSM5264635,4527
GEO-GSE133028,GEO-GSM5264636,1645
GEO-GSE133028,GEO-GSM5264637,6124
GEO-GSE133028,GEO-GSM5264638,13317
GEO-GSE133028,GEO-GSM5264639,3239
GEO-GSE133028,GEO-GSM5264640,9177
GEO-GSE133028,GEO-GSM5264641,2354
GEO-GSE133028,GEO-GSM5264642,5166
GEO-GSE133028,GEO-GSM5264643,4154
GEO-GSE133028,GEO-GSM5264644,4627
GEO-GSE133028,GEO-GSM5264645,2724
GEO-GSE133028,GEO-GSM5264646,5173
GEO-GSE133028,GEO-GSM5264647,2411
GEO-GSE133028,GEO-GSM5264648,5185
GEO-GSE133028,GEO-GSM5264649,6424
GEO-GSE133028,GEO-GSM5264650,9043
GEO-GSE133028,GEO-GSM5264651,5051
GEO-GSE133028,GEO-GSM5264652,6231
GEO-GSE133028,GEO-GSM5264653,4046
GEO-GSE133028,GEO-GSM5264654,4557
GEO-GSE133028,GEO-GSM5264655,897
GEO-GSE133028,GEO-GSM5264656,4046
GEO-GSE133028,GEO-GSM5264657,3622
GEO-GSE133028,GEO-GSM5264658,7779
GEO-GSE133028,GEO-GSM5264659,2548
GEO-GSE133028,GEO-GSM5264660,5720
GEO-GSE133028,GEO-GSM5264661,1874
GEO-GSE133028,GEO-GSM5264662,3334
GEO-GSE133028,GEO-GSM5264663,3081
GEO-GSE133028,GEO-GSM5264664,4763
GEO-GSE133028,GEO-GSM5264665,662
GEO-GSE133028,GEO-GSM5264666,5439
GEO-GSE133028,GEO-GSM5264667,4919
GEO-GSE133028,GEO-GSM5264668,6653
GEO-GSE133028,GEO-GSM5264669,7445
GEO-GSE133028,GEO-GSM5264670,3560
GEO-GSE133028,GEO-GSM5264671,3893
GEO-GSE135133,GEO-GSM3988006,12157
GEO-GSE135133,GEO-GSM3988007,12367
GEO-GSE135133,GEO-GSM3988008,10308
GEO-GSE135133,GEO-GSM3988009,10232
GEO-GSE135133,GEO-GSM3988010,11020
GEO-GSE135133,GEO-GSM3988011,14122
GEO-GSE135133,GEO-GSM3988012,13858
GEO-GSE135133,GEO-GSM3988013,13198
GEO-GSE135133,GEO-GSM3988014,7103
GEO-GSE135133,GEO-GSM3988015,7011
GEO-GSE135133,GEO-GSM3988016,10403
GEO-GSE140881,GEO-GSM4189629,8747
GEO-GSE140881,GEO-GSM4189630,10585
GEO-GSE140881,GEO-GSM4189632,6717
GEO-GSE140881,GEO-GSM4189633,6233
GEO-GSE140881,GEO-GSM4189634,7529
GEO-GSE140881,GEO-GSM4189635,7154
GEO-GSE140881,GEO-GSM4189636,7483
GEO-GSE140881,GEO-GSM4189637,7173
GEO-GSE140881,GEO-GSM4189638,8261
GEO-GSE140881,GEO-GSM4189639,8532
GEO-GSE143783,GEO-GSM4274565,13638
GEO-GSE143783,GEO-GSM4274566,14048
GEO-GSE143783,GEO-GSM4274567,9472
GEO-GSE143783,GEO-GSM4274568,9820
GEO-GSE143783,GEO-GSM4274569,8428
GEO-GSE143783,GEO-GSM4274570,7560
GEO-GSE143783,GEO-GSM4274571,9684
GEO-GSE143783,GEO-GSM4274572,9423
GEO-GSE143783,GEO-GSM4274574,10609
GEO-GSE143783,GEO-GSM4274575,13186
GEO-GSE143783,GEO-GSM4274576,6405
GEO-GSE143783,GEO-GSM4274577,7162
GEO-GSE143783,GEO-GSM4274578,5770
GEO-GSE143783,GEO-GSM4274579,2318
GEO-GSE143783,GEO-GSM4274580,1002
GEO-GSE143783,GEO-GSM4274581,1385
GEO-GSE143783,GEO-GSM4274582,9145
GEO-GSE143783,GEO-GSM4274583,6861
GEO-GSE143791,GEO-GSM4274678,1585
GEO-GSE143791,GEO-GSM4274679,1309
GEO-GSE143791,GEO-GSM4274680,726
GEO-GSE143791,GEO-GSM4274681,3623
GEO-GSE143791,GEO-GSM4274682,903
GEO-GSE143791,GEO-GSM4274683,4008
GEO-GSE143791,GEO-GSM4274684,1974
GEO-GSE143791,GEO-GSM4274685,2483
GEO-GSE143791,GEO-GSM4274686,2199
GEO-GSE143791,GEO-GSM4274687,2231
GEO-GSE143791,GEO-GSM4274688,2076
GEO-GSE143791,GEO-GSM4274689,1503
GEO-GSE143791,GEO-GSM4274690,6153
GEO-GSE143791,GEO-GSM4274691,2785
GEO-GSE143791,GEO-GSM4274692,2491
GEO-GSE143791,GEO-GSM4274693,2026
GEO-GSE143791,GEO-GSM4274694,2508
GEO-GSE143791,GEO-GSM4274695,4751
GEO-GSE143791,GEO-GSM4274696,1120
GEO-GSE143791,GEO-GSM4274697,1456
GEO-GSE143791,GEO-GSM4274698,1483
GEO-GSE143791,GEO-GSM4274699,1694
GEO-GSE143791,GEO-GSM4274700,1066
GEO-GSE143791,GEO-GSM4274701,1342
GEO-GSE143791,GEO-GSM4274702,1732
GEO-GSE143791,GEO-GSM4274703,4358
GEO-GSE143791,GEO-GSM4274704,3900
GEO-GSE143791,GEO-GSM4274705,1517
GEO-GSE143791,GEO-GSM4274706,3061
GEO-GSE143791,GEO-GSM4274707,3963
GEO-GSE143791,GEO-GSM4274708,2245
GEO-GSE143791,GEO-GSM4274709,2369
GEO-GSE143791,GEO-GSM5551112,1059
GEO-GSE143791,GEO-GSM5551113,572
GEO-GSE143791,GEO-GSM5551114,2359
GEO-GSE144870,GEO-GSM4299783,9185
GEO-GSE144870,GEO-GSM4299784,13316
GEO-GSE144870,GEO-GSM4299785,9118
GEO-GSE144870,GEO-GSM4299786,11237
GEO-GSE144870,GEO-GSM4299787,11932
GEO-GSE144870,GEO-GSM4299788,8709
GEO-GSE144870,GEO-GSM4299789,8781
GEO-GSE146276,GEO-GSM4376602,4042
GEO-GSE146276,GEO-GSM4376603,3601
GEO-GSE146276,GEO-GSM4376604,3796
GEO-GSE146276,GEO-GSM4376605,3453
GEO-GSE156326,GEO-GSM4729097,1015
GEO-GSE156326,GEO-GSM4729098,3923
GEO-GSE156326,GEO-GSM4729099,731
GEO-GSE156326,GEO-GSM4729100,3188
GEO-GSE156326,GEO-GSM4729101,7999
GEO-GSE156326,GEO-GSM4729102,5653
GEO-GSE159519,GEO-GSM4831690,13010
GEO-GSE159519,GEO-GSM4831691,11694
GEO-GSE159519,GEO-GSM4831696,22456
GEO-GSE159519,GEO-GSM4831697,23680
GEO-GSE159977,GEO-GSM4851987,9841
GEO-GSE159977,GEO-GSM4851988,14907
GEO-GSE159977,GEO-GSM4851989,24672
GEO-GSE159977,GEO-GSM4851990,9205
GEO-GSE159977,GEO-GSM4851991,7708
GEO-GSE159977,GEO-GSM4851992,8370
GEO-GSE159977,GEO-GSM4851993,9015
GEO-GSE159977,GEO-GSM4851994,9382
GEO-GSE159977,GEO-GSM4851995,8704
GEO-GSE159977,GEO-GSM4851996,1021
GEO-GSE163834,GEO-GSM5211131,2665
GEO-GSE163834,GEO-GSM5211132,1308
GEO-GSE163834,GEO-GSM5211133,3175
GEO-GSE163834,GEO-GSM5211134,3928
GEO-GSE164695,GEO-GSM5017120,6344
GEO-GSE164695,GEO-GSM5017121,4113
GEO-GSE164695,GEO-GSM5017122,6320
GEO-GSE164695,GEO-GSM5017123,4383
GEO-GSE164695,GEO-GSM5017124,5019
GEO-GSE164695,GEO-GSM5017125,3644
GEO-GSE164695,GEO-GSM5017126,3938
GEO-GSE164695,GEO-GSM5017127,3701
GEO-GSE164695,GEO-GSM5017128,5815
GEO-GSE164695,GEO-GSM5017130,5982
GEO-GSE164695,GEO-GSM5017132,6789
GEO-GSE164695,GEO-GSM5017134,5203
GEO-GSE164695,GEO-GSM5017136,5356
GEO-GSE164695,GEO-GSM5017138,4536
GEO-GSE166355,GEO-GSM5068996,12657
GEO-GSE166355,GEO-GSM5068997,6084
GEO-GSE166355,GEO-GSM5068998,6456
GEO-GSE166766,GEO-GSM5082289,22608
GEO-GSE166766,GEO-GSM5082290,11829
GEO-GSE166766,GEO-GSM5082291,14686
GEO-GSE166766,GEO-GSM5082292,28520
GEO-GSE179427,GEO-GSM5417503,9669
GEO-GSE179427,GEO-GSM5417504,6163
GEO-GSE179427,GEO-GSM5417505,1479
GEO-GSE179427,GEO-GSM5417506,1610
GEO-GSE179427,GEO-GSM5417507,2947
GEO-GSE179427,GEO-GSM5417508,2886
GEO-GSE179427,GEO-GSM5417509,1763
GEO-GSE179427,GEO-GSM5417510,8622
GEO-GSE179427,GEO-GSM5417511,6474
GEO-GSE179427,GEO-GSM5417512,2755
GEO-GSE179427,GEO-GSM5417513,2447
GEO-GSE179427,GEO-GSM5417514,4235
GEO-GSE179427,GEO-GSM5417515,1355
GEO-GSE179427,GEO-GSM5417516,3571
GEO-GSE179427,GEO-GSM5417517,3383
GEO-GSE181316,GEO-GSM5494683,12392
GEO-GSE181316,GEO-GSM5494684,7439
GEO-GSE181316,GEO-GSM5494685,20106
GEO-GSE181316,GEO-GSM5494686,12346
GEO-GSE181316,GEO-GSM5494687,16325
GEO-GSE181316,GEO-GSM5494688,1571
GEO-GSE181316,GEO-GSM5494689,16503
GEO-GSE181316,GEO-GSM5494690,11482
GEO-GSE183655,GEO-GSM5567093,3782
GEO-GSE183655,GEO-GSM5567094,2287
GEO-GSE183655,GEO-GSM5567095,5731
GEO-GSE183655,GEO-GSM5567096,12111
GEO-GSE183655,GEO-GSM5567097,1524
GEO-GSE183655,GEO-GSM5567098,12126
GEO-GSE183655,GEO-GSM5567099,12561
GEO-GSE183655,GEO-GSM5567100,735
GEO-GSE183655,GEO-GSM5567101,13184
GEO-GSE183655,GEO-GSM5567102,16122
GEO-GSE185479,GEO-GSM5616015,10506
GEO-GSE185479,GEO-GSM5616016,11606
GEO-GSE185479,GEO-GSM5616017,15441
GEO-GSE185479,GEO-GSM5616018,10039
GEO-GSE185479,GEO-GSM5616019,13148
GEO-GSE185479,GEO-GSM5616020,13057
GEO-GSE188280,GEO-GSM5676873,6469
GEO-GSE188280,GEO-GSM5676874,13540
GEO-GSE188280,GEO-GSM5676875,10285
GEO-GSE188280,GEO-GSM5676876,11751
GEO-GSE188280,GEO-GSM5676877,3192
GEO-GSE188280,GEO-GSM5676878,12557
GEO-GSE188280,GEO-GSM5676879,5907
GEO-GSE188280,GEO-GSM5676880,10284
GEO-GSE188280,GEO-GSM5676881,3380
GEO-GSE188280,GEO-GSM5676882,13180
GEO-GSE188280,GEO-GSM5676883,4064
GEO-GSE188280,GEO-GSM5676884,10150
