# Derived extract of Supplementary Data 2, scFoundation (Hao et al. 2024, Nature Methods, doi:10.1038/s41592-024-02305-7).
# derived-from-sha256: 681c1d8827145730200755cb558462813e5c2562bac75361c7208ff35ecf6e4b
# Columns kept: Project ID, pubmed ID — every row, values unchanged. The publisher file itself is not committed.
Project ID,pubmed ID
GEO-GSE147821,33833454
GEO-GSE168453,33758859
GEO-GSE180544,35005541
GEO-GSE181862,
GEO-GSE182694,
GEO-GSE193102,
GEO-GSE195709,
GEO-GSE164690,34921143
GEO-GSE174376,
GEO-GSE167825,35105810
GEO-GSE181764,35055131
GEO-GSE200972,
GEO-GSE200107,
GEO-GSE198840,
GEO-GSE159812,34153974
GEO-GSE189357,
GEO-GSE132771,32317643
GEO-GSE153358,32470390
GEO-GSE146194,
GEO-GSE184362,34663816
GEO-GSE145154,34601654
GEO-GSE154386,33513191
GEO-GSE163633,
GEO-GSE157827,32989152
GEO-GSE162117,
GEO-GSE138720,34807232
GEO-GSE190666,
GEO-GSE171263,34193871
GEO-GSE168620,34059827
DISCO-E-MTAB-8221,
DISCO-E-MTAB-8495,33602855
DISCO-E-MTAB-10169,34322127
DISCO-HRA000150,
DISCO-E-MTAB-10143,33774059
DISCO-HRA000203,32780218
DISCO-E-MTAB-9492,
DISCO-PRJNA650549,33969321
DISCO-E-MTAB-9139,
DISCO-E-MTAB-8410,32451460
DISCO-E-MTAB-9005,
DISCO-E-MTAB-9489,
DISCO-PRJNA717310,33969321
DISCO-E-MTAB-8901,33290721
DISCO-E-MTAB-8322,
DISCO-E-MTAB-8142,33479125
DISCO-E-MTAB-9652,
DISCO-PRJNA662018,
DISCO-E-MTAB-9467,
GEO-GSE180595,
GEO-GSE183267,34815405
GEO-GSE185275,34782629
GEO-GSE154600,
GEO-GSE196235,
GEO-GSE162454,34367994
GEO-GSE161277,
GEO-GSE184398,34963056
GEO-GSE148218,33218352
GEO-GSE157773,
GEO-GSE163830,
GEO-GSE159556,34081913
GEO-GSE142585,32504559
GEO-GSE139522,32066986
GEO-GSE145122,
GEO-GSE165496,34432868
GEO-GSE165822,34432868
GEO-GSE153056,
GEO-GSE143753,33473154
GEO-GSE161921,34130702 || 35055131
GEO-GSE113675,30559431
GEO-GSE147143,32671793
GEO-GSE189202,35138901
GEO-GSE161801,34845188
GEO-GSE163018,34616060
GEO-GSE139409,31968264
GEO-GSE157525,32912900
GEO-GSE158971,34489415
GEO-GSE155850,32841223
GEO-GSE133028,32859762
GEO-GSE135133,31995762
GEO-GSE140881,32376796
GEO-GSE143783,33257854
GEO-GSE143791,34719426
GEO-GSE144870,32304633
GEO-GSE146276,
GEO-GSE156326,34716325
GEO-GSE159519,33147445
GEO-GSE159977,33762733
GEO-GSE163834,33566112
GEO-GSE164695,
GEO-GSE166355,33846639
GEO-GSE166766,33730024
GEO-GSE179427,35090578
GEO-GSE181316,35278628
GEO-GSE183655,
GEO-GSE185479,34282213
GEO-GSE188280,
GEO-GSE194105,
GEO-GSE199280,
GEO-GSE201048,
GEO-GSE202210,
GEO-GSE203081,
GEO-GSE135356,33060583
GEO-GSE135399,32451506
GEO-GSE140989,32107344
GEO-GSE145326,32573490
GEO-GSE147564,32939092
GEO-GSE148071,33953163
GEO-GSE153760,32344053 || 33717163
GEO-GSE157760,35260865
GEO-GSE163278,31013254
GEO-GSE164715,
GEO-GSE175502,34764255
GEO-GSE175719,35058453
GEO-GSE175930,34389613
GEO-GSE176415,35192691
GEO-GSE179268,34863854
GEO-GSE181984,
GEO-GSE182298,34506752
GEO-GSE183676,
GEO-GSE184117,34990409
GEO-GSE185857,
GEO-GSE189534,34698522
GEO-GSE190510,35250976
GEO-GSE193371,
GEO-GSE198373,
E-MTAB-8322,
GEO-GSE115469,30348985
GEO-GSE132257,32451460
GEO-GSE132465,32451460
GEO-GSE136103,31597160 || 31722201 || 34887405
GEO-GSE125449,31588021
GEO-GSE144735,32451460
HRA000155,
GEO-GSE153855,35482056
GEO-GSE166345,
GEO-GSE168940,
GEO-GSE184291,
GEO-GSE189650,
GEO-GSE195460,
GEO-GSE197268,
GEO-GSE201891,35767654
GEO-GSE205439,
GEO-GSE205704,
GEO-GSE206638,
GEO-GSE206710,32079746
GEO-GSE208034,
GEO-GSE208108,
GEO-GSE134649,
GEO-GSE158067,
GEO-GSE171899,
GEO-GSE174554,
GEO-GSE180139,35760847
GEO-GSE181187,
GEO-GSE184257,
GEO-GSE193138,35732626
GEO-GSE193220,
GEO-GSE193269,
GEO-GSE193337,
GEO-GSE197955,35837599
GEO-GSE200218,35803246
GEO-GSE200342,
GEO-GSE202096,
GEO-GSE203499,
GEO-GSE207985,
GEO-GSE207993,
GEO-GSE208113,
GEO-GSE208317,
GEO-GSE209623,
GEO-GSE161937,
GEO-GSE162798,
GEO-GSE163947,
GEO-GSE164089,34337898
GEO-GSE164157,33997688
GEO-GSE164268,34559998
GEO-GSE166638,33749664
GEO-GSE167747,35032430
GEO-GSE169339,35232997
GEO-GSE169751,34089799
GEO-GSE170673,
